date,close
1-Jun-83,12830
1-Jul-83,12687
1-Oct-83,14238
1-Nov-83,14855
1-Jan-84,15663
1-Feb-84,16353
1-Mar-84,16670
1-Oct-84,17618
1-Dec-84,18557
1-Jan-85,19300
1-Apr-85,19975
1-May-85,19830
1-Jun-85,19912
1-Jul-85,20485
1-Aug-85,20811
1-Sep-85,21120
1-Oct-85,21645
1-Nov-85,22102
1-Dec-85,23247
1-Jan-86,24012
1-Feb-86,24849
1-Mar-86,24148
1-Apr-86,24165
1-May-86,23720
1-Jun-86,24059
1-Jul-86,23408
1-Aug-86,23951
1-Sep-86,24935
1-Oct-86,25404
1-Nov-86,26081
1-Dec-86,26609
1-Jan-87,27406
1-Feb-87,28018
1-Mar-87,28737
1-Apr-87,28227
1-May-87,27668
1-Jun-87,27603
1-Jul-87,27704
1-Aug-87,27250
1-Dec-87,27163
1-Jan-88,27712
1-Feb-88,27902
1-Mar-88,28038
1-Apr-88,27846
1-May-88,27794
1-Jun-88,27202
1-Jul-88,26860
1-Aug-88,26600
1-Sep-88,26657
1-Oct-88,26493
1-Nov-88,26392
1-Dec-88,25751
1-Jan-89,25784
1-Feb-89,25722
1-Mar-89,25572
1-Apr-89,24992
1-May-89,23255
1-Jun-89,21785
1-Jul-89,21320
1-Aug-89,21023
1-Sep-89,21123
1-Oct-89,20788
1-Nov-89,20477
1-Dec-89,20766
1-Jan-90,20995
1-Feb-90,20960
1-Mar-90,20913
1-Apr-90,20145
1-May-90,19533
1-Jun-90,18194
1-Jul-90,18144
1-Aug-90,18612
1-Sep-90,19281
1-Oct-90,19877
1-Nov-90,20143
1-Dec-90,20239
1-Jan-91,21446
1-Feb-91,21948
1-Mar-91,22377
1-Apr-91,22074
1-May-91,21846
1-Jun-91,21439
1-Jul-91,21480
1-Aug-91,21833
1-Sep-91,22089
1-Oct-91,22199
1-Dec-91,22598
1-Jan-92,22996
1-Feb-92,23388
1-Mar-92,23651
1-Apr-92,23482
1-May-92,23218
1-Jun-92,22911
1-Jul-92,22680
1-Aug-92,22760
1-Sep-92,22899
1-Oct-92,23314
1-Nov-92,23961
1-Dec-92,23998
1-Jan-93,23877
1-Feb-93,24333
1-Mar-93,24325
1-Apr-93,24111
1-Jun-93,23627
1-Jul-93,23493
1-Aug-93,23270
1-Sep-93,23488
1-Oct-93,23269
1-Nov-93,23175
1-Dec-93,23291
1-Jan-94,23526
1-Feb-94,23800
1-Mar-94,23387
1-Apr-94,23053
1-May-94,23224
1-Jun-94,23246
1-Jul-94,22771
1-Aug-94,22732
1-Sep-94,23287
1-Oct-94,23470
1-Nov-94,23405
1-Dec-94,23798
1-Jan-95,24049
1-Feb-95,24317
1-Mar-95,24093
1-Apr-95,23853
1-May-95,23455
1-Jun-95,23301
1-Jul-95,23339
1-Aug-95,23998
1-Sep-95,24245
1-Oct-95,24319
1-Nov-95,24482
1-Dec-95,24325
1-Jan-96,24755
1-Feb-96,24862
1-Mar-96,24872
1-Apr-96,24654
1-May-96,24615
1-Jun-96,24448
1-Jul-96,24649
1-Sep-96,24697
1-Oct-96,24247
1-Nov-96,23907
1-Dec-96,23597
1-Jan-97,23698
1-Feb-97,23446
1-Mar-97,22985
1-Apr-97,22802
1-May-97,22199
1-Jun-97,21967
1-Jul-97,21718
1-Aug-97,21396
1-Sep-97,21313
1-Oct-97,21070
1-Nov-97,21020
1-Dec-97,20751
1-Jan-98,21172
1-Feb-98,21124
1-Mar-98,21209
1-Apr-98,20968
1-May-98,20634
1-Jun-98,20597
1-Jul-98,20777
1-Aug-98,21178
1-Sep-98,21670
1-Oct-98,21799
1-Nov-98,22218
1-Dec-98,22106
1-Jan-99,22639
1-Feb-99,22759
1-Mar-99,22615
1-Apr-99,22457
1-May-99,22139
1-Jun-99,22092
1-Jul-99,22039
1-Aug-99,22631
1-Sep-99,22792
1-Oct-99,23022
1-Nov-99,23040
1-Dec-99,22806
1-Jan-00,22955
1-Feb-00,23140
1-Mar-00,23065
1-Apr-00,23030
1-May-00,23120
1-Jun-00,24268
1-Jul-00,23695
1-Aug-00,23829
1-Sep-00,24362
1-Oct-00,24537
1-Nov-00,24835
1-Dec-00,25235
1-Jan-01,25529
1-Feb-01,25816
1-Mar-01,26226
1-Apr-01,26830
1-May-01,27052
1-Jun-01,27574
1-Jul-01,28651
1-Aug-01,29155
1-Sep-01,28991
1-Oct-01,29498
1-Nov-01,29802
1-Dec-01,30439
1-Jan-02,31063
1-Feb-02,31779
1-Mar-02,32849
1-Apr-02,33599
1-May-02,33887
1-Jun-02,33838
1-Jul-02,35002
1-Aug-02,35968
1-Sep-02,36976
1-Oct-02,37263
1-Nov-02,37775
1-Dec-02,38040
1-Jan-03,38464
1-Feb-03,38224
1-Mar-03,38254
1-Apr-03,38470
1-May-03,38662
1-Jun-03,38353
1-Jul-03,38415
1-Aug-03,37567
1-Sep-03,38245
1-Oct-03,38270
1-Nov-03,38642
1-Dec-03,38354
1-Jan-04,38317
1-Feb-04,38468
1-Mar-04,38436
1-Apr-04,37896
1-May-04,37292
1-Jun-04,36399
1-Jul-04,36579
1-Aug-04,36359
1-Sep-04,36723
1-Oct-04,36930
1-Nov-04,36762
1-Dec-04,36243
1-Jan-05,36630
1-Feb-05,36169
1-Mar-05,35505
1-Apr-05,34512
1-May-05,33857
1-Jun-05,32835
1-Jul-05,32816
1-Aug-05,32316
1-Sep-05,32095
1-Oct-05,31975
1-Nov-05,31962
1-Dec-05,31387
1-Jan-06,31554
1-Feb-06,31527
1-Mar-06,31457
1-Apr-06,31435
1-May-06,31350
1-Jun-06,31542
1-Jul-06,32274
1-Aug-06,32974
1-Sep-06,33505
1-Oct-06,34018
1-Nov-06,34524
1-Dec-06,34326
1-Jan-07,35112
1-Feb-07,35149
1-Mar-07,35208
1-Apr-07,35182
1-May-07,34931
1-Jun-07,34466
1-Jul-07,34426
1-Aug-07,35046
1-Sep-07,35837
1-Oct-07,35974
1-Nov-07,35564
1-Dec-07,34818
1-Jan-08,35097
1-Feb-08,34764
1-Mar-08,34467
1-Apr-08,34220
1-May-08,33450
1-Jun-08,33285
1-Jul-08,33843
1-Aug-08,34662
