date,ten,twenty,thirty,fourty,fifty,sixty,seventy,eighty,ninety,ninetyfive,ninetynine
2006,4638,9485,14725,21161,28568,36779,47356,64984,101204,157451,582529
2007,4288,9308,14697,21172,28966,37462,48818,67531,105890,167546,651647
2008,3699,9454,15270,22304,29931,38947,50808,70138,108538,169050,596470
2009,3793,9017,14228,20554,28213,37672,49508,68142,105368,159216,493439
2010,3433,9130,14297,20439,28357,38800,49838,69086,108589,167394,567165
2011,3255,9211,14449,20627,28661,38340,51126,71014,112159,174399,598412
2012,3635,9435,14796,21015,29316,39306,52317,73285,116061,181288,641973
2013,2999,9159,14491,20866,29133,39424,52910,74381,118900,185905,636865
2014,3443,9669,15232,21723,30428,41036,55084,77415,124568,198120,705903
2015,3676,10153,16116,22871,31729,42760,57340,80594,129899,206017,727956
2016,3967,10600,16796,23724,32785,43962,58587,82027,132537,209849,713706
